,S,E,Ia,Is,R,Ihsub,Ihcrit,D,Htot,Dperday,NCperday,Hcumulative
2020-04-28,10439907.756392322,21039.330519155632,20778.912710952136,8451.305171073851,173214.69115476313,1038.360561616089,654.6434901154167,1022.9999999999997,1693.0040517315058,32.96543182074457,5025.993894815181,6984.261088773853
2020-04-29,10434881.762497507,20833.41674317085,21011.322965458312,8550.02756963717,178058.3952670724,1053.1348815795122,663.9746437524602,1055.9654318207438,1717.1095253319736,33.43138257314221,5074.975174631895,7178.872769225932
2020-04-30,10429806.787322877,20716.219795523004,21177.341645707027,8627.997022457823,182949.2740379857,1067.7159354439052,673.2674256120487,1089.3968143938864,1740.9833610559538,33.893597367921025,5117.007523349959,7375.6544773040805
2020-05-01,10424689.779799528,20662.05693602655,21300.505059642957,8692.204436741105,187875.78369255745,1081.9246588137617,682.4550049296988,1123.2904117618073,1764.3796637434605,34.34610268399094,2569.5838559978924,7574.323565715053
2020-05-02,10422120.195943527,18365.072353247746,21198.854340977294,8664.747727315227,192814.99017428688,1095.2676028877318,691.2353433104988,1157.6365144457984,1786.5029461982308,34.75247982265896,2543.35620130759,7774.012511698079
2020-05-03,10419576.83974222,16552.21888808684,20780.01880034796,8505.775853568772,197696.13607418272,1106.090451222388,698.5311961016963,1192.388994268457,1804.6216473240852,35.06261121194248,2485.588483167918,7971.731574545241
2020-05-04,10417091.25125905,15088.892456196556,20159.839403476723,8262.717783776876,202461.0800427716,1113.2082855361443,703.5591637084148,1227.4516054803994,1816.767449244559,35.24922418135827,2407.8795586318274,8165.001067013585
2020-05-05,10414683.37170042,13880.027996447969,19418.43845868286,7968.417908274543,207073.03685305786,1116.0664984593304,705.9397549942039,1262.7008296617582,1822.0062534535339,35.29895881908132,2318.655675364573,8352.239657947632
2020-05-06,10412364.716025056,12859.733789280474,18609.644309257823,7644.988504091629,211510.79332115056,1114.5488249175378,705.5754377642044,1297.9997884808395,1820.1242626817425,35.213643852015984,2222.900935556076,8532.521550943524
2020-05-07,10410141.8150895,11980.016563575842,17771.258190725042,7308.007176226362,215762.40397593204,1108.767977784502,702.5175939224275,1333.2134323328553,1811.2855717069297,34.996476392960794,2124.8842707322365,8705.311684558783
2020-05-08,10408016.93081877,11208.380540729531,16927.236190508644,6967.401134785704,219823.8706638721,1099.0281722678126,696.9425703416615,1368.2099087258161,1795.9707426094744,34.659108569926666,2026.6849444033921,8870.410894097207
2020-05-09,10405990.245874368,10520.587741701518,16094.289286307436,6630.141435930449,223695.10222510644,1085.6953633280903,689.0690559651491,1402.8690172957429,1774.7644192932391,34.213803197810336,1929.890199322484,9027.786434183117
2020-05-10,10404060.355675047,9898.979219036124,15283.411572105195,6300.8627052469055,227378.99381100442,1069.1722201882517,679.1419768828998,1437.0828204935528,1748.3141970711515,33.67121656843075,1836.0328282895414,9177.533599409295
2020-05-11,10402224.322846754,9332.22775253372,14500.093231027413,5981.946936994727,230881.32042696685,1049.900862423097,667.4339062387945,1470.7540370619845,1717.3347686618918,33.04608511309503,1745.277169710396,9319.871244250426
2020-05-12,10400479.045677043,8810.742630758064,13748.513766337875,5675.23264300541,234208.1846070325,1028.2851622706032,654.1953913776766,1503.800122175079,1682.48055364828,32.35148032910229,1657.8760066976336,9455.034797783728
2020-05-13,10398821.169670347,8326.906685459637,13031.317624672618,5381.921536619612,237366.17193783453,1004.7002171899417,639.660725374232,1536.1516025041808,1644.360942564174,31.59747327818312,1574.5192154612405,9583.282714639134
2020-05-14,10397246.650454884,7876.475576455313,12348.320002979817,5102.050649088179,240363.16464332328,979.5226483168167,624.0669491702123,1567.749075782364,1603.589597487029,30.795340649155325,1495.087089105475,9704.930273406057
2020-05-15,10395751.563365778,7455.7966523734485,11699.035715043032,4835.5231671956435,243206.82181562664,953.0883116440468,607.6265559070921,1598.5444164315195,1560.714867551139,29.95576931141102,1419.2971951799177,9820.285654933208
2020-05-16,10394332.266170599,7061.21216967908,11083.218087910122,4582.326985946239,245904.26649741488,925.6864062283121,590.5234964797546,1628.5001857429306,1516.2099027080667,29.08759310116132,1347.075943270313,9929.63674367433
2020-05-17,10392985.190227328,6689.7048717606485,10500.25418667921,4342.289337668325,248462.4753716279,897.5752459770828,572.9229801145001,1657.587778844092,1470.4982260915826,28.198660645171667,1278.6319364686608,10033.26710737319
2020-05-18,10391706.558290863,6339.837685491636,9948.298708117287,4114.725168199579,250888.8128919671,868.9987645839944,554.9820512915617,1685.7864394892633,1423.9808158755561,27.296355964436728,1213.7427878456615,10131.478248767064
2020-05-19,10390492.815503016,6010.2122233768505,9425.664922924198,3899.004439484651,253190.2156896845,840.1674055781425,536.8370204840819,1713.0827954537006,1377.0044260622244,26.386390281014695,1152.1568438854224,10224.555114500386
2020-05-20,10389340.658659134,5699.286277145379,8930.973243521237,3694.6134689438936,255373.13165666556,811.2619832794509,518.6055255812937,1739.4691857347152,1329.8675088607445,25.474474816963703,1093.6224510719796,10312.76313268627
2020-05-21,10388247.036208054,5405.373817750618,8463.151224051191,3501.154929473367,257443.5199454295,782.4336827986722,500.3865318885231,1764.9436605516792,1282.8202146871954,24.56487787182218,1038.0268445630013,10396.34821290652
2020-05-22,10387209.009363493,5127.052946907472,8021.040483503094,3318.190260215053,259407.1159538869,753.8151716638515,482.26728190660566,1789.508538423501,1236.0824535704573,23.662663385328173,985.4008593480099,10475.547478490837
2020-05-23,10386223.608504144,4863.69688544279,7602.921344215711,3145.0451293159304,261269.70562448323,725.5248770889842,464.3264334990098,1813.1712018088288,1189.8513105879942,22.772280758553187,935.535513911439,10550.601157743797
2020-05-24,10385288.072990233,4614.5925830133865,7207.305723328825,2981.1324648867353,263036.6676085152,697.6574642020516,446.6276832522908,1835.9434825673825,1144.285147454343,21.89557549608885,888.2678910848276,10621.733194250839
2020-05-25,10384399.80509915,4378.963704417042,6832.878597473437,2825.9325810424407,264713.0609062959,670.2941733272912,429.2258802311995,1857.8390580634707,1099.5200535584904,21.034388620776227,843.4353054284649,10689.15415136071
2020-05-26,10383556.36979372,4155.971203137045,6478.4974152503955,2678.9929458848314,266303.62530901475,643.5028450277914,412.16704128015294,1878.8734466842468,1055.6698863079446,20.19056115545705,800.8750715027826,10753.06122943314
2020-05-27,10382755.494722215,3944.713321342183,6143.192097230347,2539.9281815025097,267812.78139873856,617.3379201054935,395.4883510232349,1899.0640078397046,1012.8262711287283,19.365614716085954,760.4445240982893,10813.638265838756
2020-05-28,10381995.050198115,3744.2699270974335,5826.117140095722,2408.4012673763696,269244.6700662807,591.8423698561518,379.21940861815455,1918.4296225557905,971.0617784743064,18.56070276116622,722.1468675199977,10871.057342981194
2020-05-29,10381272.903330596,3554.140616277039,5526.132373414608,2283.95380280112,270603.43614364736,567.0556629296466,363.38774501355385,1936.9903253169568,930.4434079432007,17.779982567553088,685.8359649960983,10925.490953862869
2020-05-30,10380587.067365604,3373.9301867979357,5242.1536163343735,2166.1416166698696,271892.9310603094,542.9974099532539,348.00843644698267,1954.7703078845095,891.0058464002368,17.023657876537595,651.3967674458846,10977.100210571429
