FIP,County,_0to9,_10to19,_20to29,_30to39,_40to49,_50to59,_60to69,_70to79,_80up,POPSIZE
13001,"Appling County, Georgia",0.13454390995009027,0.1306679409578422,0.1202612296909844,0.11388977381331634,0.11850907932462568,0.12918126791971965,0.1213762344695763,0.07672294786025273,0.054847616013592435,18834.0
13003,"Atkinson County, Georgia",0.14335122242098985,0.140608228980322,0.1347644603458557,0.12021466905187835,0.12939773404889685,0.12605843768634467,0.10399522957662492,0.06511627906976744,0.03649373881932021,8385.0
13005,"Bacon County, Georgia",0.13368606701940036,0.1390652557319224,0.12548500881834215,0.117989417989418,0.13139329805996472,0.11631393298059965,0.12028218694885362,0.068342151675485,0.047442680776014115,11340.0
13007,"Baker County, Georgia",0.09689557855126997,0.10849796174349326,0.11257447475697713,0.09689557855126997,0.11037942928817812,0.1480087801818752,0.15459391658827218,0.08874255252430227,0.08341172781436187,3189.0
13009,"Baldwin County, Georgia",0.09756793537907722,0.1488651828438474,0.1829096975284253,0.10696255322885112,0.1038236972650248,0.12450063655120945,0.11488651828438474,0.07008648316431801,0.05039729575486193,45558.0
13011,"Banks County, Georgia",0.11372854914196567,0.13031721268850754,0.11539261570462818,0.11648465938637545,0.13161726469058765,0.14113364534581382,0.12230889235569425,0.08569942797711909,0.04331773270930837,19230.0
13013,"Barrow County, Georgia",0.13866327429298367,0.13948282610822976,0.1288408846266758,0.14720129171151775,0.13358694588511594,0.12429053723456307,0.09630345434974068,0.05631666503571778,0.03531412075545552,81752.0
13015,"Bartow County, Georgia",0.1271698288259034,0.13339518485874655,0.13026859024910706,0.12658533191074825,0.13158602774040914,0.13973187363733358,0.10693510228696017,0.06446165978568448,0.039866400705107385,107785.0
13017,"Ben Hill County, Georgia",0.13075797483172374,0.1346795434591747,0.1160667251975417,0.11793971319871233,0.11524729294702955,0.12748024582967515,0.12496341820310215,0.07837284167398302,0.05449224465905765,17085.0
13019,"Berrien County, Georgia",0.12248852626211115,0.13656297807241202,0.115859255481897,0.1172870984191739,0.12141764405915348,0.13773584905660374,0.1138194798572157,0.07812340642529322,0.05670576236613972,19610.0
13021,"Bibb County, Georgia",0.13526666068245646,0.1347473167228755,0.14394162830360466,0.12150083992665067,0.11122295885000576,0.12169318954131028,0.1109664926971263,0.06562327686803535,0.05503763640793506,155966.0
13023,"Bleckley County, Georgia",0.10658855751673768,0.1559646987218503,0.14097687157638467,0.10544735240413876,0.11138161898965307,0.13253195374315274,0.1027084601339014,0.07455873402312843,0.06984175289105295,13144.0
13025,"Brantley County, Georgia",0.123056859676578,0.13088158581116327,0.12050078247261345,0.11314553990610328,0.1299947835159103,0.14194053208137716,0.11966614501825767,0.07209181011997913,0.04872196139801774,19170.0
13027,"Brooks County, Georgia",0.11896453270731552,0.11445974240213184,0.11052598185394327,0.10944737009073027,0.11541145866379035,0.14840428906795253,0.1348899181524015,0.09269716388554024,0.0551995431761944,15761.0
13029,"Bryan County, Georgia",0.1563807395473326,0.15762804355169815,0.11480393940181377,0.15887534755606372,0.1382948314840319,0.11298495439544735,0.08437491879531221,0.046098277161343966,0.030558948106956318,38483.0
13031,"Bulloch County, Georgia",0.1107982542587639,0.16169864205905315,0.2328849525808557,0.1191302010674107,0.10107125030396888,0.1011608411298683,0.08850293729922055,0.050644414012005166,0.034108507288853625,78133.0
13033,"Burke County, Georgia",0.13733679166483492,0.1421725941882446,0.1201477117861696,0.11425682507583418,0.11605926056183233,0.13377588253396053,0.12375258275816592,0.06739350243988218,0.04510484899107575,22747.0
13035,"Butts County, Georgia",0.114314762098414,0.11297275315168767,0.14672631150874338,0.13212688084587232,0.12952419682797886,0.1368442456283042,0.10971939812932087,0.07019113460756406,0.04758031720211468,24590.0
13037,"Calhoun County, Georgia",0.08620159803318991,0.10341118623232944,0.1442839582052858,0.15196681007990165,0.14889366933005532,0.12753534111862325,0.10617701290719114,0.06484326982175784,0.06668715427166565,6508.0
13039,"Camden County, Georgia",0.14068637394655795,0.12556475556457114,0.1790620908403563,0.13544913050694304,0.10354620392055618,0.11715566046434435,0.09906504140004058,0.06507828203662383,0.03439246132000664,54227.0
13043,"Candler County, Georgia",0.12861035422343325,0.13987284287011809,0.11752951861943688,0.11253405994550407,0.1184377838328792,0.12752043596730245,0.12070844686648502,0.0854677565849228,0.049318801089918256,11010.0
13045,"Carroll County, Georgia",0.12618956030171766,0.14604204646184207,0.15975648508972926,0.12340486026325033,0.12223411550233312,0.12113863290461775,0.10007358967068622,0.06133030054690505,0.039830409258918564,119582.0
13047,"Catoosa County, Georgia",0.114265312367934,0.13331195989565878,0.1138572740123286,0.1187683070780082,0.133501406275047,0.1330642223226126,0.11666982410632315,0.07953833374622929,0.057023360195858415,68621.0
13049,"Charlton County, Georgia",0.105183388905729,0.10578963322218854,0.15603213094877236,0.14004243710215214,0.12875113670809335,0.13344953016065475,0.10268263110033343,0.07426492876629281,0.053804183085783566,13196.0
13051,"Chatham County, Georgia",0.1186445858834238,0.12132430357907036,0.16199216123137952,0.1412778415536249,0.11181453228906987,0.11812154846247375,0.10823138632087327,0.06639858168553904,0.05219505899454547,294434.0
13053,"Chattahoochee County, Georgia",0.14977194452201434,0.12268453876943125,0.3736386484222285,0.1540538024760309,0.07288466908684725,0.05287163734524807,0.03425486363213255,0.02187470911291073,0.017965186633156473,10743.0
13055,"Chattooga County, Georgia",0.11727516990674886,0.12438754544017702,0.12545440177019124,0.11822348664453927,0.12434803224276908,0.13090722301248614,0.1220562667931089,0.07645803698435277,0.06088983720562668,25308.0
13057,"Cherokee County, Georgia",0.1237429678223122,0.14197115103852367,0.11365556442350742,0.12764400147943392,0.14714527651787973,0.13970138794261353,0.10640633820638104,0.06535983336902143,0.03437347920032703,256855.0
13059,"Clarke County, Georgia",0.10038241659362224,0.14103648083650722,0.2783263650255591,0.13118518116307393,0.09692282631460553,0.08741283151174786,0.08265783411031905,0.046270080749629613,0.035805983694935505,128917.0
13061,"Clay County, Georgia",0.10306500505220613,0.113506231054227,0.09397103401818796,0.1060963287302122,0.0906028965981812,0.1199056921522398,0.16436510609632873,0.12091613337824185,0.08757157292017513,2969.0
13063,"Clayton County, Georgia",0.1523486410368119,0.1522217152815179,0.15477738251649178,0.1391346407829604,0.12913494952128407,0.1230459436929906,0.08826142589079583,0.03979980034921735,0.021275500927930183,291509.0
13065,"Clinch County, Georgia",0.13748513674197385,0.13585017835909632,0.1270808561236623,0.11920332936979786,0.12009512485136742,0.12544589774078474,0.11637931034482757,0.07714030915576695,0.04131985731272295,6728.0
13067,"Cobb County, Georgia",0.12428229868127075,0.13411890370103408,0.13707001578714387,0.14222140391975588,0.1410357358780799,0.13369321231162176,0.09852274641459467,0.05360185841713317,0.035453824889365944,765813.0
